epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.977,1.5733,3.67654,1.24395,0.01143,0.32653,0.008,0.00393,1.13194,3.48782,1.06337,6e-05,6e-05,6e-05
2,24.7819,1.48622,3.40254,1.17933,0.01905,0.54422,0.02858,0.01738,1.23496,3.22564,0.98634,0.000138614,0.000138614,0.000138614
3,34.6174,1.47098,2.41241,1.04517,0.02,0.57143,0.14519,0.05311,1.45297,3.11924,1.03395,0.000215644,0.000215644,0.000215644
4,37.0345,1.34477,1.45213,1.00261,0.02,0.57143,0.32049,0.20484,1.44256,2.81843,1.01686,0.00029109,0.00029109,0.00029109
5,47.763,1.27109,1.55777,1.00669,0.02071,0.59184,0.45077,0.27177,1.53485,2.69616,1.0365,0.000364952,0.000364952,0.000364952
6,49.6933,1.27853,1.23402,0.98704,1,0.20096,0.38544,0.22119,1.57859,2.69185,1.03946,0.00043723,0.00043723,0.00043723
7,59.547,1.18335,1.08368,0.97225,0.05101,0.46913,0.40212,0.26904,1.45411,2.63655,0.97799,0.000507924,0.000507924,0.000507924
8,61.4497,1.1824,1.01083,0.97006,0.0231,0.65986,0.44824,0.24118,1.71465,2.6489,1.05003,0.000577034,0.000577034,0.000577034
9,70.8581,1.14234,0.99129,0.95702,0.02405,0.68707,0.47169,0.26455,1.66462,2.59367,1.03205,0.00064456,0.00064456,0.00064456
10,73.516,1.16216,0.94915,0.95542,0.0219,0.62585,0.46168,0.2493,1.8551,2.5917,1.1007,0.000710502,0.000710502,0.000710502
11,81.8094,1.25711,0.96995,0.9849,0.02262,0.64626,0.405,0.28575,1.30363,2.66666,0.93019,0.00077486,0.00077486,0.00077486
12,84.0189,1.15471,0.96949,0.96689,0.02619,0.7483,0.56502,0.33746,1.48786,2.44262,0.98268,0.000837634,0.000837634,0.000837634
13,94.4291,1.10784,0.89183,0.93806,0.95226,0.54274,0.59631,0.33215,1.54274,2.22172,0.98983,0.000898824,0.000898824,0.000898824
14,96.2328,1.07578,0.86359,0.94875,1,0.45317,0.56871,0.35902,1.36552,2.15748,0.94041,0.00095843,0.00095843,0.00095843
15,106.994,1.07718,0.84573,0.93825,0.96488,0.37375,0.53764,0.31584,1.65782,2.04281,1.00408,0.00101645,0.00101645,0.00101645
16,108.934,1.12291,0.81359,0.93217,0.96596,0.3861,0.52906,0.33504,1.54408,2.01059,0.97549,0.00107289,0.00107289,0.00107289
17,118.727,1.0843,0.82107,0.94493,0.92458,0.44218,0.50339,0.30083,1.58428,1.97086,0.98872,0.00112774,0.00112774,0.00112774
18,120.566,1.03886,0.76023,0.91249,0.99589,0.4898,0.57044,0.33184,1.6203,1.67376,0.99919,0.00118101,0.00118101,0.00118101
19,130.566,1.10872,0.77524,0.93009,0.97748,0.4898,0.5991,0.40421,1.2682,1.63977,0.9136,0.0012327,0.0012327,0.0012327
20,132.463,1.02277,0.74376,0.91964,1,0.49373,0.63151,0.40953,1.2708,1.57655,0.92052,0.0012828,0.0012828,0.0012828
21,141.209,0.98094,0.71168,0.90927,1,0.51469,0.71772,0.43365,1.40182,1.47805,0.94824,0.00133132,0.00133132,0.00133132
22,144.13,1.0083,0.734,0.92664,1,0.55299,0.81785,0.49834,1.30213,1.34208,0.91458,0.00137825,0.00137825,0.00137825
23,153.135,1.05409,0.72751,0.92097,0.98799,0.5595,0.85579,0.53409,1.19333,1.33113,0.89354,0.0014236,0.0014236,0.0014236
24,154.982,1.02761,0.70788,0.91788,0.98795,0.55772,0.86639,0.49408,1.44534,1.34084,0.96391,0.00146737,0.00146737,0.00146737
25,165.837,1.03193,0.71029,0.9059,0.98926,0.62662,0.90766,0.57841,1.20699,1.31995,0.90324,0.00150955,0.00150955,0.00150955
26,167.75,1.09616,0.72586,0.93898,0.93044,0.72794,0.93093,0.60589,1.18374,1.21028,0.8991,0.001505,0.001505,0.001505
27,177.827,0.99518,0.69294,0.90339,0.95493,0.72068,0.94336,0.63555,1.00627,1.10221,0.86563,0.0014852,0.0014852,0.0014852
28,179.911,0.96501,0.67889,0.90486,0.97464,0.78435,0.9577,0.63206,0.98899,0.97833,0.86825,0.0014654,0.0014654,0.0014654
