epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5037,1.60131,4.67721,1.27956,0,0,0,0,1.14133,4.73247,1.06968,2.001e-05,2.001e-05,2.001e-05
2,40.91,1.51834,4.62717,1.16309,0,0,0,0,1.16233,4.58503,1.00831,4.62278e-05,4.62278e-05,4.62278e-05
3,55.6664,1.40231,4.38456,1.08676,0.00178,0.03253,0.00166,0.0009,1.22511,4.44117,0.96571,7.19173e-05,7.19173e-05,7.19173e-05
4,69.9923,1.41591,4.11052,1.02676,0.01066,0.24392,0.0317,0.01927,1.29157,4.34004,0.9418,9.70785e-05,9.70785e-05,9.70785e-05
5,87.0913,1.36515,3.88144,0.9862,0.01487,0.31086,0.04498,0.027,1.37455,4.27224,0.9402,0.000121711,0.000121711,0.000121711
6,102.619,1.38017,3.69529,0.98243,0.01989,0.4313,0.06671,0.03841,1.47222,4.20567,0.95832,0.000145816,0.000145816,0.000145816
7,120.761,1.32901,3.44566,0.98005,0.01763,0.4378,0.07632,0.04412,1.37704,4.10323,0.93751,0.000169393,0.000169393,0.000169393
8,137.973,1.30129,3.31767,0.97854,0.01762,0.48488,0.08479,0.0537,1.36775,3.97137,0.92901,0.000192441,0.000192441,0.000192441
9,157.285,1.31647,3.1822,0.96276,0.01728,0.49837,0.09786,0.06085,1.43682,3.80122,0.94848,0.000214961,0.000214961,0.000214961
10,176.191,1.33364,3.00174,1.00109,0.01755,0.52584,0.10896,0.06715,1.55441,3.71952,0.98072,0.000236952,0.000236952,0.000236952
11,193.957,1.25527,2.76953,0.9529,0.01759,0.53233,0.12075,0.0771,1.43703,3.59846,0.93166,0.000258416,0.000258416,0.000258416
